=== INTERLOCKING STRESS TEST SUITE ===

[CONFLICT] 2026-03-16T21:07:12.230871 | FOLLOWING CONFLICT | train: NEW_0 | location: H_T_0
[CONFLICT] 2026-03-16T21:07:12.232826600 | HEAD-ON CONFLICT | train: NEW_1 | location: H_T_1
[CONFLICT] 2026-03-16T21:07:12.232826600 | FOLLOWING CONFLICT | train: NEW_2 | location: H_T_2
[CONFLICT] 2026-03-16T21:07:12.232826600 | FOLLOWING CONFLICT | train: NEW_3 | location: H_T_3
[CONFLICT] 2026-03-16T21:07:12.232826600 | FOLLOWING CONFLICT | train: NEW_4 | location: H_T_4
[CONFLICT] 2026-03-16T21:07:12.232826600 | HEAD-ON CONFLICT | train: NEW_5 | location: H_T_5
[CONFLICT] 2026-03-16T21:07:12.232826600 | HEAD-ON CONFLICT | train: NEW_6 | location: H_T_6
[CONFLICT] 2026-03-16T21:07:12.232826600 | FOLLOWING CONFLICT | train: NEW_7 | location: H_T_7
[CONFLICT] 2026-03-16T21:07:12.234825600 | HEAD-ON CONFLICT | train: NEW_8 | location: H_T_8
[CONFLICT] 2026-03-16T21:07:12.234825600 | FOLLOWING CONFLICT | train: NEW_9 | location: H_T_9
[CONFLICT] 2026-03-16T21:07:12.234825600 | HEAD-ON CONFLICT | train: NEW_10 | location: H_T_10
[CONFLICT] 2026-03-16T21:07:12.234825600 | HEAD-ON CONFLICT | train: NEW_11 | location: H_T_11
[CONFLICT] 2026-03-16T21:07:12.234825600 | FOLLOWING CONFLICT | train: NEW_12 | location: H_T_12
[CONFLICT] 2026-03-16T21:07:12.234825600 | HEAD-ON CONFLICT | train: NEW_13 | location: H_T_13
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_14 | location: H_T_14
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_15 | location: H_T_15
[CONFLICT] 2026-03-16T21:07:12.235825400 | HEAD-ON CONFLICT | train: NEW_16 | location: H_T_16
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_17 | location: H_T_17
[CONFLICT] 2026-03-16T21:07:12.235825400 | HEAD-ON CONFLICT | train: NEW_18 | location: H_T_18
[CONFLICT] 2026-03-16T21:07:12.235825400 | HEAD-ON CONFLICT | train: NEW_19 | location: H_T_19
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_20 | location: H_T_20
[CONFLICT] 2026-03-16T21:07:12.235825400 | HEAD-ON CONFLICT | train: NEW_21 | location: H_T_21
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_22 | location: H_T_22
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_23 | location: H_T_23
[CONFLICT] 2026-03-16T21:07:12.235825400 | HEAD-ON CONFLICT | train: NEW_24 | location: H_T_24
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_25 | location: H_T_25
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_26 | location: H_T_26
[CONFLICT] 2026-03-16T21:07:12.235825400 | HEAD-ON CONFLICT | train: NEW_27 | location: H_T_27
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_28 | location: H_T_28
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_29 | location: H_T_29
[CONFLICT] 2026-03-16T21:07:12.235825400 | HEAD-ON CONFLICT | train: NEW_30 | location: H_T_30
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_31 | location: H_T_31
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_32 | location: H_T_32
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_33 | location: H_T_33
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_34 | location: H_T_34
[CONFLICT] 2026-03-16T21:07:12.235825400 | HEAD-ON CONFLICT | train: NEW_35 | location: H_T_35
[CONFLICT] 2026-03-16T21:07:12.235825400 | FOLLOWING CONFLICT | train: NEW_36 | location: H_T_36
[CONFLICT] 2026-03-16T21:07:12.236825600 | FOLLOWING CONFLICT | train: NEW_37 | location: H_T_37
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_38 | location: H_T_38
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_39 | location: H_T_39
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_40 | location: H_T_40
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_41 | location: H_T_41
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_42 | location: H_T_42
[CONFLICT] 2026-03-16T21:07:12.236825600 | FOLLOWING CONFLICT | train: NEW_43 | location: H_T_43
[CONFLICT] 2026-03-16T21:07:12.236825600 | FOLLOWING CONFLICT | train: NEW_44 | location: H_T_44
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_45 | location: H_T_45
[CONFLICT] 2026-03-16T21:07:12.236825600 | FOLLOWING CONFLICT | train: NEW_46 | location: H_T_46
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_47 | location: H_T_47
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_48 | location: H_T_48
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_49 | location: H_T_49
[CONFLICT] 2026-03-16T21:07:12.236825600 | HEAD-ON CONFLICT | train: NEW_50 | location: H_T_50
[CONFLICT] 2026-03-16T21:07:12.236825600 | FOLLOWING CONFLICT | train: NEW_51 | location: H_T_51
